Source,Target,Type,Weight
717,1589,undirected,15
465,3216,undirected,1
2390,1663,undirected,1
4395,1312,undirected,11
4395,3380,undirected,3
4395,2401,undirected,3
1312,3380,undirected,3
1312,2401,undirected,6
3380,2401,undirected,3
3428,4396,undirected,3
3428,3146,undirected,3
3428,1589,undirected,3
4396,3146,undirected,3
4396,1589,undirected,3
3146,1589,undirected,11
3294,1663,undirected,1
2373,1589,undirected,1
2373,3167,undirected,1
2373,4236,undirected,1
1589,3167,undirected,2
1589,4236,undirected,2
3167,4236,undirected,1
3687,2105,undirected,1
3687,2718,undirected,1
3687,813,undirected,1
3687,1312,undirected,3
3687,3339,undirected,2
2105,2718,undirected,1
2105,813,undirected,1
2105,1312,undirected,1
2105,3339,undirected,1
2718,813,undirected,1
2718,1312,undirected,1
2718,3339,undirected,1
1663,2740,undirected,1
1703,2740,undirected,1
1589,3216,undirected,8
2892,3216,undirected,1
1312,3340,undirected,1
1570,3224,undirected,2
1570,2261,undirected,1
3224,2261,undirected,1
190,1589,undirected,4
889,1589,undirected,1
2078,1570,undirected,2
2069,4200,undirected,1
2069,1216,undirected,1
2069,1663,undirected,1
4200,1216,undirected,1
4200,1663,undirected,1
1216,1663,undirected,1
4514,1589,undirected,1
2709,1120,undirected,1
1312,1120,undirected,1
717,2092,undirected,1
1589,2092,undirected,1
2194,2192,undirected,15
2194,1570,undirected,15
2192,1570,undirected,15
1589,4235,undirected,4
1570,505,undirected,2
1570,2952,undirected,1
505,2952,undirected,1
342,1589,undirected,3
342,4043,undirected,2
1589,4043,undirected,2
1426,310,undirected,1
1426,1663,undirected,1
1426,1969,undirected,1
310,1663,undirected,1
310,1969,undirected,1
1663,1969,undirected,1
3965,1735,undirected,2
3965,571,undirected,2
3965,2576,undirected,2
3965,4356,undirected,2
3965,3789,undirected,2
3965,2572,undirected,2
3965,1663,undirected,2
1735,571,undirected,2
1735,2576,undirected,2
1735,4356,undirected,2
1735,3789,undirected,2
1735,2572,undirected,2
1735,1663,undirected,2
571,2576,undirected,2
571,4356,undirected,2
571,3789,undirected,2
571,2572,undirected,2
571,1663,undirected,2
2576,4356,undirected,2
2576,3789,undirected,2
2576,2572,undirected,2
2576,1663,undirected,2
4356,3789,undirected,2
4356,2572,undirected,3
4356,1663,undirected,2
3789,2572,undirected,2
3789,1663,undirected,2
333,1570,undirected,205
1589,1312,undirected,20
1589,1170,undirected,9
1589,3803,undirected,8
1312,1170,undirected,1
1312,3803,undirected,7
